,城市,平均薪资
54,香港,20000.0
74,盐城,20000.0
0,北京,19909.861325115562
11,佛山,19360.0
2,上海,17645.437262357413
1,深圳,17247.404844290657
32,海外,16000.0
8,南京,15384.615384615385
6,武汉,15147.826086956522
50,阿克苏地区,15000.0
64,金华,15000.0
34,拉萨,15000.0
77,惠州,15000.0
21,珠海,14833.333333333334
5,杭州,14780.0
3,广州,14586.805555555555
43,无锡,14000.0
7,西安,13913.04347826087
4,成都,13684.0
47,常州,13500.0
10,合肥,13428.57142857143
9,苏州,13348.837209302326
19,厦门,12933.333333333334
13,长沙,11780.0
41,湖州,11500.0
18,东莞,10866.666666666666
15,宁波,10352.941176470587
26,温州,10250.0
17,福州,10066.666666666666
75,安阳,10000.0
66,清远,10000.0
33,金昌,10000.0
78,乌鲁木齐,10000.0
59,鞍山,10000.0
20,天津,9857.142857142857
46,石家庄,9500.0
23,贵阳,9166.666666666666
16,济南,9058.823529411764
22,青岛,9000.0
44,南昌,9000.0
27,廊坊,8750.0
31,长春,8333.333333333334
30,昆明,8333.333333333334
12,郑州,8040.0
52,兰州,8000.0
49,汕头,8000.0
61,河源,8000.0
76,哈尔滨,8000.0
14,重庆,7472.222222222223
48,连云港,7000.0
39,潍坊,7000.0
35,龙岩,7000.0
24,桂林,6750.0
28,中山,6666.666666666667
25,大连,6500.0
36,台州,6500.0
71,秦皇岛,6000.0
45,呼和浩特,6000.0
40,烟台,5500.0
37,南宁,5500.0
29,太原,5333.333333333333
69,徐州,5000.0
72,咸阳,5000.0
38,沈阳,5000.0
79,扬州,5000.0
56,泉州,5000.0
57,海口,5000.0
55,梅州,4000.0
67,唐山,4000.0
60,滨州,4000.0
70,临沂,4000.0
51,曲靖,4000.0
42,淄博,4000.0
63,长治,4000.0
65,商丘,3000.0
68,辽阳,3000.0
73,通化,3000.0
62,运城,3000.0
58,洛阳,3000.0
53,嘉兴,2700.0
