,岗位,企业,城市,薪资,经验,学历
0,ios开发工程师,雷神（武汉）网络技术有限公司,武汉,15000,5-10年,本科
1,ios工程师,贝氏标准（北京）科技有限公司,北京,15000,3-5年,大专
2,iOS开发工程师,广州同玩科技有限公司,广州,12000,3-5年,本科
3,iOS开发工程师,深圳市天创进科技有限公司,深圳,20000,3-5年,大专
4,ios高级开发工程师,浙江新蓝网络传媒有限公司,杭州,15000,3-5年,本科
5,ios开发工程师,宝宝巴士股份有限公司,福州,10000,1-3年,本科
6,高级ios开发工程师,杭州睿琪软件有限公司,杭州,18000,3-5年,本科
7,ios开发工程师,星河闪耀信息技术（成都）有限公司,深圳,15000,3-5年,本科
8,ios开发工程师,广州优聚大鱼科技有限公司,广州,15000,1-3年,本科
9,ios高级开发工程师,腾讯科技（深圳）有限公司,深圳,40000,不限,本科
10,高级ios开发工程师,亿磐系统（深圳）有限公司,苏州,14000,5-10年,不限
11,ios高级开发工程师,深圳哇哇鱼网络科技有限公司,深圳,21000,3-5年,本科
12,ios开发工程师,北京臻盛网络技术有限公司,北京,16000,3-5年,本科
13,ios开发工程师,贝壳找房（北京）科技有限公司,北京,35000,5-10年,本科
14,ios开发工程师,北京中电博亚科技有限公司,北京,10000,1-3年,本科
15,ios开发工程师,上海佑医欣健康管理有限公司,上海,25000,5-10年,本科
16,ios开发工程师,深圳市即构科技有限公司,深圳,20000,5-10年,本科
17,高级IOS开发工程师,成都德鲁伊科技有限公司,成都,15000,5-10年,本科
18,ios开发工程师,上海集度汽车有限公司,北京,25000,3-5年,本科
19,ios开发工程师,东莞霖感科技有限公司,东莞,10000,1-3年,大专
20,ios开发工程师,杭州睿琪软件有限公司,杭州,20000,5-10年,本科
21,ios开发工程师,杭州盘丝洞网络科技有限公司,杭州,15000,3-5年,大专
22,iOS开发工程师,上海绘享网络科技有限公司,上海,15000,1-3年,本科
23,ios开发工程师,上海零与壹软件有限公司,上海,10000,不限,大专
24,ios开发工程师,华安财产保险股份有限公司,深圳,15000,3-5年,本科
