,岗位,企业,城市,薪资,经验,学历
0,Java开发工程师,柏美迪康环境科技（上海）股份有限公司,上海,20000.0,不限,本科
1,高级Java开发工程师,北京车之家信息技术有限公司,北京,20000.0,不限,本科
2,java开发工程师,北京江融信科技有限公司,北京,10000.0,不限,本科
3,java开发工程师,深圳市优诚信息技术有限公司,天津,15000.0,不限,大专
4,java开发工程师,深圳市睿服科技有限公司,深圳,13000.0,不限,本科
5,Java工程师,北京大数据先进技术研究院,北京,20000.0,不限,本科
6,java开发工程师,上海图源素数字科技有限公司,杭州,10000.0,不限,本科
7,java开发工程师,国信证券股份有限公司,深圳,18000.0,不限,本科
8,java高级开发工程师,北京君禾世纪科技有限公司,北京,20000.0,不限,本科
9,Java开发工程师,亚信科技（中国）有限公司,北京,15000.0,不限,本科
10,java开发工程师,华泰期货有限公司,广州,20000.0,不限,硕士
11,Java开发工程师,北京车之家信息技术有限公司,北京,15000.0,不限,本科
12,Java开发工程师,联易融数字科技集团有限公司,深圳,18000.0,不限,本科
13,java,北京泰斯听科技有限公司,拉萨,15000.0,不限,本科
14,JAVA工程师,华为技术有限公司,深圳,15000.0,不限,本科
15,java开发工程师,北京芯火科技有限公司,北京,16000.0,5-10年,本科
16,java开发工程师,中电金信软件有限公司,广州,15000.0,3-5年,本科
17,java开发工程师,深圳市睿服科技有限公司,深圳,12000.0,3-5年,本科
18,java开发工程师,上海中彦信息科技有限公司,上海,25000.0,5-10年,本科
19,JAVA工程师,中电金信软件有限公司,福州,11000.0,1-3年,本科
20,Java开发工程师,每平每屋（上海）科技有限公司,上海,18000.0,3-5年,本科
21,java开发工程师,河钢集团供应链管理有限公司,石家庄,6000.0,3-5年,本科
22,java高级开发工程师,北京汇易达数字科技有限公司,南京,18000.0,3-5年,本科
23,java开发工程师,瞬沃信息科技（上海）有限公司,武汉,12000.0,3-5年,本科
24,java开发工程师,上海宸曦科技有限公司,常州,15000.0,3-5年,本科
25,高级java开发工程师,瞬沃信息科技（上海）有限公司,杭州,20000.0,3-5年,本科
26,java工程师,深圳楚星软件有限公司,深圳,10000.0,1-3年,大专
27,java开发工程师,深圳市同和信息技术有限公司,杭州,9000.0,3-5年,本科
28,java开发工程师,飞虎互动科技（北京）有限公司,南京,15000.0,3-5年,本科
29,java开发工程师,深圳太极数智技术有限公司,深圳,14000.0,3-5年,本科
30,java开发工程师,中电金信软件有限公司,成都,13000.0,3-5年,本科
31,java开发工程师,北京健康在线网络技术有限公司,金昌,10000.0,3-5年,本科
32,java开发工程师,加绩（上海）科技服务有限公司,上海,14000.0,3-5年,本科
33,java开发工程师,昆仑太科（北京）技术股份有限公司,成都,15000.0,5-10年,本科
34,java开发工程师,安徽屹通信息科技发展有限公司,济南,9000.0,3-5年,本科
35,java开发工程师,北京联龙博通电子商务技术有限公司,上海,17000.0,5-10年,本科
36,java高级开发工程师,北京致远互联软件股份有限公司,北京,20000.0,5-10年,本科
37,java开发工程师,深圳市领星网络科技有限公司,深圳,20000.0,1-3年,本科
38,java开发工程师,中电金信软件有限公司,成都,10000.0,3-5年,本科
