职位,地区,薪资,经历要求,学历,公司名称,其余信息
Python Engineer Python 工程师,上海,15-18K,3-5年,本科,思迈德,电子商务
Python C++开发,淄博·张店区·山东理工大学,3-5K,经验不限,本科,里丰科技,电力/热力/燃气/水利
Python 工程师,郑州·中原区·五龙口,6-11K·13薪,3-5年,本科,讯鸟科技,计算机软件
Python 开发,成都·武侯区·环球中心,9-12K,1-3年,本科,移联创科技,移动互联网
Python 实习开发,北京·朝阳区·望京,200-250元/天,3天/周,大专,巨锝数据,数据服务
python 爬虫实习生,长沙·岳麓区·观沙岭,250-300元/天,5天/周,本科,艾佐科技,电子商务
python web开发工程师,深圳·南山区·科技园,13-17K,1-3年,大专,腾讯,互联网
Python 后端研发工程师（实习）,上海·嘉定区·江桥,200-250元/天,4天/周,本科,观安,计算机软件
python 兼职开发,深圳·福田区·华强南,14000-15000元/月,1-3年,学历不限,深圳懒蚂蚁,电子商务
Python 技术专家,上海·黄浦区·董家渡,30-60K·16薪,3-5年,本科,蚂蚁集团,互联网
Python 工程师,咸阳·秦都区·奥园,5-10K,3-5年,本科,航天蓝西,计算机软件
Python 全栈,深圳·福田区·会展中心,20-30K,1-3年,本科,凝基(上海),计算机硬件
Python 后端工程师,成都·武侯区·火车南站,8-12K,1-3年,大专,成都银事达,通信/网络设备
python 开发工程师,福州·仓山区·金山,4-9K,经验不限,本科,睿云在线,移动互联网
Python Web研发工程师,武汉·洪山区·街道口,10-15K·13薪,3-5年,本科,楚精灵,医疗设备/器械
编程 c++ python,深圳·南山区·南山中心,8-12K,在校/应届,本科,网企科技,培训机构
Python 后端开发工程师,深圳·福田区·景田,15-25K,3-5年,本科,深圳捎客转运物流,物流/仓储
python 爬虫工程师,南京·建邺区·奥体,8-13K,1-3年,本科,南京雨润食品有限公司,食品/饮料/烟酒
Python 开发工程师,北京·海淀区·上地,12-20K,1-3年,本科,脉讯在线,互联网
Python 中级工程师,温州,10-12K·13薪,1-3年,本科,浙江华光,汽车零部件
Python 开发工程师,长沙·岳麓区·麓谷,15-30K·14薪,经验不限,本科,华为,计算机软件
Python Flask Web工程师,上海·闵行区·七宝,12-24K,3-5年,大专,三育教育,学前教育
Python 开发工程师,北京·海淀区·学院路,11-22K,3-5年,本科,UnitedStack,互联网
Python 开发工程师,宁波·鄞州区·高新区,7-10K,1-3年,大专,上海德成,计算机软件
Python 开发工程师（算法工程师）,秦皇岛·海港区·东北大学,6-8K,1-3年,本科,数港科技,数据服务
Python Web开发工程师,深圳·南山区·西丽,18-25K·13薪,1-3年,本科,场景通,互联网
PYTHON 开发工程师（企业内部系统）,北京·海淀区·西北旺,20-40K·15薪,经验不限,本科,Aibee,互联网
Python 、Java、Go 中级工程师,北京·海淀区·五道口,15-22K,1-3年,本科,Veritas,企业服务
后端开发工程师 Python,宁波·鄞州区·高新区,8-13K,1-3年,本科,原子文化,媒体
python 高级开发工程师（居家办公）,北京·门头沟区·永定,12-20K,3-5年,本科,北京汉鸽科技有限公司,智能硬件
Python,长治·潞州区·城隍庙,4-5K,1-3年,大专,晟运通,培训机构
Python,北京·东城区·建国门内,11-15K,经验不限,学历不限,宇通科技,互联网
python,福州·鼓楼区·蒙古营,9-13K·13薪,1-3年,本科,鑫晟隆,计算机硬件
Python,西安·莲湖区·土门,3-6K,3-5年,大专,山西慢快科技有限...,移动互联网
Python,临沂·平邑县·县人民医院,4-5K,1年以内,本科,编程侠少儿编程教育,培训机构
Python,徐州·云龙区·火车站,5-8K·13薪,1-3年,大专,江苏文旭,广告营销
python,辽阳·白塔区·科普公园,3-8K,经验不限,学历不限,博远创客,文化/体育/娱乐
Python,西安·未央区·辛家庙,10-15K,1-3年,学历不限,金芒果信息科技,数据服务
Python,北京·海淀区·西三旗,15-30K,3-5年,本科,启客,数据服务
Python,唐山·路北区·兴源道,4-6K,1年以内,本科,灵动机器人活动中心,在线教育
Python,太原·万柏林区·千峰,6-10K·14薪,1-3年,本科,清晋智慧,互联网
Python,济南·市中区·济南大学,3-7K,经验不限,本科,怀平信息科技有限公司,计算机软件
Python,西安·雁塔区·鱼化寨,13-24K·14薪,1-3年,本科,西安华为,通信/网络设备
Python,商丘,3-8K,经验不限,大专,易速,计算机服务
Python,苏州·昆山市·锦溪,10-12K·13薪,1-3年,本科,益麦电磁,通信/网络设备
Python,南京·雨花台区·铁心桥,12-20K,3-5年,本科,聆韵,仪器仪表/工业自动化
Python,上海·黄浦区·南京东路,15-20K,1-3年,本科,云图软件,计算机软件
Python,北京,12-24K·13薪,1年以内,本科,石云科技,互联网金融
Python,上海·宝山区·淞宝,20-35K,1-3年,本科,江苏飞通技术有限公司,互联网
Python,成都·双流区·华阳,15-30K,3-5年,硕士,北航西部创新港,计算机软件
Python,济南·历城区·经十东路,8-13K·14薪,3-5年,本科,泉云智慧,计算机软件
Python,北京·海淀区·五道口,9-14K,经验不限,本科,Momenta,互联网
python,郑州·中牟县·刘集镇,8-10K,1-3年,本科,北京打造前程,院校
Python,贵阳·观山湖区·世纪金源,8-12K,1-3年,学历不限,贵州澜庭轩酒店管理,移动互联网
Python,金华·永康市·九铃中路,15-16K,1-3年,本科,友诚精密冲件,原材料及加工/模具
Python,苏州·太仓市·太仓,4-8K,1-3年,本科,苏州零壹极,计算机软件
Python,台州·椒江区·商业街商区,6-11K,1-3年,本科,方程士青少年编程,培训机构
Python,海口·秀英区·西海岸,5-10K,经验不限,大专,博佳佳智科技,培训机构
python,深圳·南山区·科技园,12-13K,3-5年,大专,兴融联科技,企业服务
Python,珠海·香洲区·唐家湾,13-20K,3-5年,本科,信雅达科技股份,计算机软件
Python,杭州·滨江区·浦沿,7-12K·13薪,1-3年,本科,杭州赛迈科技,计算机软件
Python,北京·海淀区·紫竹桥,13-18K·13薪,3-5年,大专,北京奕辰科技有限公司,互联网
Python,武汉·江夏区·纸坊,15-16K,1-3年,本科,吟客星,互联网
Python,北京·朝阳区·酒仙桥,15-25K·14薪,3-5年,本科,奇虎360,互联网
