职位,公司,城市,薪资,经验,学历
python开发工程师,北京外企德科人力资源服务上海有限公司,北京,20k-30k,不限,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,武汉,12k-22k,1-3年,本科
Python实习生,上海好火的科技有限公司,上海,4k-8k,不限,本科
python后端工程师,上海好火的科技有限公司,苏州,4k-8k,在校/应届,不限
Python开发工程师（广州）,贵阳高登世德金融科技有限公司,广州,10k-15k,3-5年,本科
Java/C++/Python//运维/C,中软国际科技服务有限公司,西安,15k-30k,3-5年,本科
Java/测试/安卓/运维/C++/Python,中软国际科技服务有限公司,西安,15k-30k,3-5年,本科
后端开发工程师（Python）,杭州德睿智药科技有限公司,杭州,12k-20k,不限,本科
python爬虫工程师（高级）,高维互娱科技（北京）有限公司,北京,15k-20k,3-5年,本科
Go/Python研发工程师,深圳永安在线科技有限公司,深圳,25k-35k,3-5年,本科
python数据分析讲师,河南量子矩阵科技有限公司,郑州,8k-13k,3-5年,本科
python教师,深圳乐博乐博教育科技有限公司益田分公司,深圳,6k-12k,1年以下,大专
游戏开发（Lua，C++，C#，Python）,德科信息有限公司,广州,10k-15k,不限,本科
网络安全研发?程师（Python）,郑州赛欧思科技有限公司,郑州,10k-15k,3-5年,本科
python开发工程师(第三方,北京百度网讯科技有限公司,上海,15k-25k,1-3年,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,深圳,15k-30k,1-3年,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,1-3年,本科
Python算法（风控业务）,中软国际科技服务有限公司,西安,10k-20k,3-5年,本科
python开发工程师(第三方,北京百度网讯科技有限公司,上海,15k-25k,1-3年,本科
python爬虫工程师,深圳禾略贝塔信息科技有限公司,重庆,6k-9k,3-5年,本科
Python实习生,深圳市磐泷智投数据有限公司,深圳,4k-6k,不限,本科
python自动化测试,南宁千禾软件技术有限公司,深圳,10k-15k,3-5年,本科
python实习生,深圳市磐泷智投数据有限公司,深圳,4k-6k,不限,本科
数据研发?程师（python）,郑州赛欧思科技有限公司,郑州,5k-10k,不限,本科
python后端开发工程师,麦可（西安）网络科技有限公司,西安,10k-15k,3-5年,大专
python爬虫工程师,湖南语亦云科技有限公司,长沙,7k-14k,1-3年,不限
Go/Python后端研发工程师(J57808),百度在线网络技术（北京）有限公司,北京,25k-50k,1-3年,本科
Python研发工程师(J58097),百度在线网络技术（北京）有限公司,北京,25k-50k,1-3年,本科
python开发（人工智能）,南京制典网络科技有限公司,南京,10k-20k,1-3年,大专
python开发实习生,达而观信息科技（上海）有限公司,上海,4k-6k,在校/应届,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,东莞,10k-20k,1-3年,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,西安,13k-26k,1-3年,本科
Python开发中级工程师,北京盈科千信科技有限公司,北京,11k-15k,1-3年,本科
c++/python软件工程师,之江实验室,杭州,15k-25k,不限,硕士
python爬虫工程师,北京华城翻译中心有限公司,北京,11k-18k,1-3年,本科
后端开发工程师（java、c/c++、python、go）,华为技术有限公司,西安,18k-35k,不限,本科
python后端工程师,浙江天垂科技有限公司,杭州,15k-30k,不限,本科
python后端开发工程师,深圳市布桐游戏有限公司,深圳,18k-25k,3-5年,大专
java/c++/c/python/web前端\测试,华为技术有限公司,武汉,14k-28k,不限,本科
python全栈开发工程师（ j53346）,百度在线网络技术（北京）有限公司,北京,30k-45k,3-5年,本科
python爬虫开发,北京华城翻译中心有限公司,北京,10k-15k,不限,本科
Python 数据采集,苏州零泉科技有限公司,苏州,6k-10k,1-3年,本科
Python研发工程师,观源（上海）科技有限公司,上海,15k-25k,3-5年,本科
python爬虫工程师,上海泛微网络科技股份有限公司,上海,15k-30k,1-3年,本科
12613K-Python开发工程师,深圳平安综合金融服务有限公司,上海,20k-30k,3-5年,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,武汉,15k-30k,不限,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,深圳,16k-32k,不限,本科
java/c++/c/python/web前端\测试,华为技术有限公司,南京,14k-28k,不限,本科
java/c++/c/python/web前端\测试,华为技术有限公司,西安,14k-28k,不限,本科
python后端开发工程师,上海循宇投资管理有限公司,上海,20k-35k,3-5年,本科
python开发（周末双休、不加班）,中电金信软件有限公司,广州,15k-20k,5-10年,本科
python后端开发工程师,上海蜚语信息科技有限公司,上海,15k-30k,3-5年,本科
Python Developer,深圳前海智龙资本管理有限公司,深圳,15k-20k,在校/应届,本科
RPA开发工程师（熟练python）,深圳市同和信息技术有限公司,深圳,11k-13k,3-5年,大专
Python Engineer,久远谦长（北京）技术服务有限公司,北京,18k-30k,3-5年,本科
python后端开发工程师,苏州沃时数字科技有限公司,苏州,10k-16k,1-3年,本科
python测试工程师,上海清序科技有限公司,上海,10k-12k,3-5年,本科
Python软件工程师,上海艾连信息技术有限公司,上海,7k-9k,1-3年,本科
python后端开发工程师（ai方向）,深圳市易佰网络科技有限公司武汉分公司,武汉,12k-20k,3-5年,本科
python后端开发工程师,深圳素问智能信息技术有限公司,南京,10k-15k,1-3年,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,西安,12k-24k,不限,本科
python开发工程师,北京外企德科人力资源服务上海有限公司,北京,15k-30k,不限,本科
java/c/c++/python/go/js/web/测试...,华为技术有限公司,深圳,15k-30k,不限,本科
C/C++/Java/C#/Python开发工程师,华为技术有限公司,成都,15k-30k,1-3年,本科
python后端工程师,深圳素问智能信息技术有限公司,深圳,10k-16k,1-3年,本科
python后端开发工程师,杭州映云科技有限公司,北京,25k-35k,3-5年,本科
Python开发工程师 (MJ000115),北京永信至诚科技股份有限公司,北京,10k-18k,3-5年,本科
python全栈,北京游道易网络文化有限公司,北京,15k-25k,1-3年,本科
python后端开发工程师,四川凯普顿信息技术股份有限公司,成都,16k-25k,3-5年,本科
Python工程师（人工智能）,浙商期货有限公司,杭州,15k-30k,不限,本科
python实习生（非应届生）,达而观信息科技（上海）有限公司,成都,4k-6k,在校/应届,本科
Python实习生,深圳市磐泷智投数据有限公司,深圳,4k-6k,在校/应届,本科
（高级）Python开发工程师,上海合合信息科技股份有限公司,上海,20k-35k,3-5年,本科
Python开发(数据工程方向),奥智元科技（深圳）有限公司,深圳,15k-20k,1-3年,本科
Python开发实习生,百姓网股份有限公司,上海,3k-5k,在校/应届,本科
python开发工程师（双休，年终奖2-4个月）,北京外企德科人力资源服务上海有限公司,深圳,18k-35k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,北京外企德科人力资源服务上海有限公司,东莞,15k-30k,不限,本科
c/c++，java，js，python、go通用软件开发工程师,华为技术有限公司,武汉,6k-7k,不限,本科
Python后端专家（成都）,北京特拉库塔科技有限公司,成都,28k-50k,5-10年,本科
Python后端专家（北京）,北京特拉库塔科技有限公司,北京,30k-50k,5-10年,本科
python程序员（自动化开发）,深圳市惠群商业数据技术有限公司,深圳,7k-12k,不限,本科
Technical Support/ Python开发工程师,友邦资讯科技（广州）有限公司,广州,15k-20k,5-10年,本科
Python开发实习生,达而观信息科技（上海）有限公司,上海,4k-6k,在校/应届,本科
python开发实习生,北京聚智国传科技有限公司,北京,3k-6k,不限,本科
Python高级工程师,北京尽调云科技有限公司,北京,20k-25k,5-10年,本科
python后端开发工程师,北京尽调云科技有限公司,北京,10k-20k,1-3年,本科
python、C++编程老师,北京博瑞领创科技有限公司,北京,6k-12k,不限,本科
python后端开发工程师,深圳市捎客转运物流有限公司,深圳,15k-25k,5-10年,本科
python爬虫开发,深圳航路信息服务有限公司,深圳,8k-16k,1-3年,大专
高级python开发工程师,广东赛博威信息科技有限公司,广州,12k-20k,3-5年,本科
c/c++，java，js，python，go，软件测试，数据开发,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
java/c/c++/python/go/js/web/测试/软件开发/双休,北京外企德科人力资源服务上海有限公司,西安,15k-30k,不限,本科
高级python开发工程师,广东赛博威信息科技有限公司,广州,12k-20k,3-5年,本科
python爬虫工程师,恩特科信息科技（杭州）有限责任公司,杭州,12k-18k,1-3年,本科
Python数据处理工程师,广东杰纳医药科技有限公司,广州,8k-16k,1-3年,本科
python数据处理工程师,广东杰纳医药科技有限公司,广州,10k-18k,1-3年,本科
python后端开发工程师,泰坦科技（深圳）有限公司,深圳,15k-20k,3-5年,本科
python后端开发工程师,深圳道乐科技有限公司,广州,11k-20k,不限,本科
python数据开发工程师,深圳市吉迩科技有限公司,深圳,15k-20k,3-5年,本科
