岗位,公司名称,城市,薪资,经历要求,学历
python开发工程师,云孚科技（北京）有限公司,哈尔滨,8k-16k,不限,本科
python开发工程师,广东美亚旅游科技集团股份有限公司,广州,12k-15k,3-5年,本科
python开发工程师,深圳市同和信息技术有限公司,深圳,16k-18k,5-10年,本科
python开发工程师,达而观信息科技（上海）有限公司,上海,12k-18k,1-3年,本科
Python开发工程师,志诺维思（北京）基因科技有限公司,北京,15k-20k,不限,本科
python开发工程师,北京星尘纪元智能科技有限公司,北京,10k-20k,1-3年,本科
python开发工程师,加绩（上海）科技服务有限公司,上海,18k-20k,3-5年,大专
python开发工程师,贝壳找房（北京）科技有限公司,北京,20k-30k,3-5年,本科
Python开发工程师,深圳微众信用科技股份有限公司,深圳,15k-25k,3-5年,本科
python开发工程师,达而观信息科技（上海）有限公司,上海,15k-30k,3-5年,本科
python开发工程师,苏州卓曜智能科技有限公司,苏州,9k-18k,3-5年,本科
python开发工程师,深圳市睿服科技有限公司,深圳,14k-17k,3-5年,本科
python工程师,北京一点网聚信息技术有限公司,北京,30k-50k,5-10年,本科
python开发工程师,温州银行股份有限公司,温州,13k-24k,3-5年,本科
python开发工程师,深圳市言羽科技有限公司,上海,20k-40k,不限,本科
python开发,深圳市睿服科技有限公司,深圳,12k-20k,3-5年,本科
python开发工程师,深圳市脉山龙信息技术股份有限公司,深圳,13k-17k,1-3年,大专
python开发工程师,翰竺科技（北京）有限公司,深圳,10k-20k,3-5年,本科
python开发工程师,普华永道商务服务（成都）有限公司,广州,12k-18k,1-3年,本科
Python开发工程师,志诺维思（北京）基因科技有限公司,北京,15k-20k,不限,本科
python开发工程师,加绩（上海）科技服务有限公司,上海,18k-20k,3-5年,大专
python开发工程师,达而观信息科技（上海）有限公司,上海,15k-25k,3-5年,本科
python开发工程师,波克科技股份有限公司,上海,18k-35k,3-5年,本科
Python开发工程师,浙江保融科技股份有限公司,杭州,11k-22k,3-5年,本科
Python开发工程师,上海弘连网络科技有限公司,杭州,10k-20k,1-3年,本科
Python开发工程师,深圳微众信用科技股份有限公司,深圳,15k-25k,3-5年,本科
python工程师,北京一点网聚信息技术有限公司,北京,30k-50k,5-10年,本科
python开发工程师,温州银行股份有限公司,温州,13k-24k,3-5年,本科
python开发工程师,北京睿智思科科技发展有限公司,北京,7k-14k,不限,本科
Python开发工程师,云孚科技（北京）有限公司,北京,10k-20k,不限,本科
python开发工程师,北京睿智思科科技发展有限公司,北京,7k-14k,不限,本科
python开发工程师,深圳市言羽科技有限公司,上海,20k-40k,不限,本科
python开发工程师,上海晓途网络科技有限公司,上海,20k-40k,5-10年,本科
python开发工程师,上海弘连网络科技有限公司,上海,10k-20k,1-3年,本科
Python开发工程师,因诺（上海）资产管理有限公司,北京,20k-30k,1-3年,本科
python开发工程师,成都思而科软件有限公司,成都,12k-20k,3-5年,本科
python工程师,广东省电信规划设计院有限公司,广州,8k-15k,1-3年,本科
python开发工程师,广东美亚旅游科技集团股份有限公司,广州,12k-15k,3-5年,本科
python开发工程师,友邦资讯科技（广州）有限公司,广州,15k-26k,5-10年,本科
Python开发工程师,志诺维思（北京）基因科技有限公司,北京,15k-20k,不限,本科
python开发工程师,加绩（上海）科技服务有限公司,上海,15k-20k,3-5年,本科
python开发工程师,波克科技股份有限公司,上海,18k-35k,3-5年,本科
python开发工程师,杭州米链科技有限公司,杭州,15k-30k,3-5年,本科
Python开发工程师,浙江保融科技股份有限公司,杭州,11k-22k,3-5年,本科
Python开发工程师,深圳微众信用科技股份有限公司,深圳,15k-25k,3-5年,本科
python开发工程师,达而观信息科技（上海）有限公司,上海,15k-30k,3-5年,本科
python开发工程师,北京志翔科技股份有限公司,北京,20k-30k,3-5年,本科
python开发工程师,奇点浩翰数据技术（北京）有限公司,北京,15k-30k,3-5年,本科
Python开发工程师,云孚科技（北京）有限公司,北京,10k-20k,不限,本科
python开发工程师,四川汉科计算机信息技术有限公司,成都,10k-20k,3-5年,本科
python开发工程师,北京热刺激光技术有限责任公司,北京,15k-25k,3-5年,本科
python开发工程师,中国民航信息网络股份有限公司重庆分公司,重庆,5k-10k,1-3年,本科
python开发工程师,达而观信息科技（上海）有限公司,上海,15k-20k,1-3年,本科
python主讲老师,网易（杭州）网络有限公司,北京,15k-25k,3-5年,本科
宝马对话AI-项目高级工程师-Python/GO(A73030),上海茗日智能科技有限公司,北京,16k-28k,5-10年,本科
python后端开发工程师,深圳壹木航科技有限公司,深圳,12k-22k,1-3年,本科
Python开发工程师 (MJ000537),上海域起网络科技有限公司,上海,20k-30k,3-5年,本科
Python技术管培生,中山华定科技有限公司,中山,5k-10k,不限,不限
高级python开发工程师,深圳软牛科技有限公司,深圳,15k-25k,3-5年,本科
python后端开发工程师,上海微创软件股份有限公司,苏州,11k-14k,1-3年,本科
python爬虫工程师-高级,北京罗格数据科技有限公司,北京,40k-50k,5-10年,本科
苏州python开发工程师,达而观信息科技（上海）有限公司,苏州,12k-24k,1-3年,本科
Python 实习生,广州爱范儿科技股份有限公司,广州,3k-4k,不限,本科
python后端开发工程师,深圳市脉山龙信息技术股份有限公司,深圳,10k-16k,3-5年,本科
Python图形开发工程师,上海微创软件股份有限公司,苏州,15k-20k,3-5年,本科
python开发工程师（包2餐，证券项目稳定，加班少）,深圳市睿服科技有限公司,深圳,15k-18k,3-5年,本科
上海Python后端高级开发工程师,达而观信息科技（上海）有限公司,上海,20k-30k,3-5年,本科
python数据开发工程师,上海仲阳天王星数据科技有限公司,成都,15k-30k,不限,本科
Python系统开发工程师,上海仲阳天王星数据科技有限公司,深圳,15k-30k,不限,本科
知识图谱开发工程师（Python）,证通股份有限公司,上海,15k-22k,1-3年,本科
Python实习生,北京中软国际教育科技股份有限公司,西安,6k-10k,不限,大专
Python开发交付工程师,浙江保融科技股份有限公司,杭州,13k-26k,3-5年,本科
自动化测试工程师（web、接口自动化；python/java）,上海亘岩网络科技有限公司,上海,15k-30k,3-5年,本科
后端开发工程师（python方向）,广州凌隆网络科技有限公司,广州,8k-15k,1-3年,本科
