岗位,公司名称,城市,薪资,经历要求,学历
Python Engineer Python 工程师,思迈德,上海,15-18K,3-5年,本科
Python C++开发,里丰科技,淄博·张店区·山东理工大学,3-5K,经验不限,本科
Python 工程师,讯鸟科技,郑州·中原区·五龙口,6-11K·13薪,3-5年,本科
Python 开发,移联创科技,成都·武侯区·环球中心,9-12K,1-3年,本科
Python 实习开发,巨锝数据,北京·朝阳区·望京,200-250元/天,3天/周,大专
python 爬虫实习生,艾佐科技,长沙·岳麓区·观沙岭,250-300元/天,5天/周,本科
python web开发工程师,腾讯,深圳·南山区·科技园,13-17K,1-3年,大专
Python 后端研发工程师（实习）,观安,上海·嘉定区·江桥,200-250元/天,4天/周,本科
python 兼职开发,深圳懒蚂蚁,深圳·福田区·华强南,14000-15000元/月,1-3年,学历不限
Python 技术专家,蚂蚁集团,上海·黄浦区·董家渡,30-60K·16薪,3-5年,本科
Python 工程师,航天蓝西,咸阳·秦都区·奥园,5-10K,3-5年,本科
Python 全栈,凝基(上海),深圳·福田区·会展中心,20-30K,1-3年,本科
Python 后端工程师,成都银事达,成都·武侯区·火车南站,8-12K,1-3年,大专
python 开发工程师,睿云在线,福州·仓山区·金山,4-9K,经验不限,本科
Python Web研发工程师,楚精灵,武汉·洪山区·街道口,10-15K·13薪,3-5年,本科
编程 c++ python,网企科技,深圳·南山区·南山中心,8-12K,在校/应届,本科
Python 后端开发工程师,深圳捎客转运物流,深圳·福田区·景田,15-25K,3-5年,本科
python 爬虫工程师,南京雨润食品有限公司,南京·建邺区·奥体,8-13K,1-3年,本科
Python 开发工程师,脉讯在线,北京·海淀区·上地,12-20K,1-3年,本科
Python 中级工程师,浙江华光,温州,10-12K·13薪,1-3年,本科
Python 开发工程师,华为,长沙·岳麓区·麓谷,15-30K·14薪,经验不限,本科
Python Flask Web工程师,三育教育,上海·闵行区·七宝,12-24K,3-5年,大专
Python 开发工程师,UnitedStack,北京·海淀区·学院路,11-22K,3-5年,本科
Python 开发工程师,上海德成,宁波·鄞州区·高新区,7-10K,1-3年,大专
Python 开发工程师（算法工程师）,数港科技,秦皇岛·海港区·东北大学,6-8K,1-3年,本科
Python Web开发工程师,场景通,深圳·南山区·西丽,18-25K·13薪,1-3年,本科
PYTHON 开发工程师（企业内部系统）,Aibee,北京·海淀区·西北旺,20-40K·15薪,经验不限,本科
Python 、Java、Go 中级工程师,Veritas,北京·海淀区·五道口,15-22K,1-3年,本科
后端开发工程师 Python,原子文化,宁波·鄞州区·高新区,8-13K,1-3年,本科
python 高级开发工程师（居家办公）,北京汉鸽科技有限公司,北京·门头沟区·永定,12-20K,3-5年,本科
Python,晟运通,长治·潞州区·城隍庙,4-5K,1-3年,大专
Python,宇通科技,北京·东城区·建国门内,11-15K,经验不限,学历不限
python,鑫晟隆,福州·鼓楼区·蒙古营,9-13K·13薪,1-3年,本科
Python,山西慢快科技有限...,西安·莲湖区·土门,3-6K,3-5年,大专
Python,编程侠少儿编程教育,临沂·平邑县·县人民医院,4-5K,1年以内,本科
Python,江苏文旭,徐州·云龙区·火车站,5-8K·13薪,1-3年,大专
python,博远创客,辽阳·白塔区·科普公园,3-8K,经验不限,学历不限
